"id","capacidade_peso"
2,3600.0
3,1662.0
4,3600.0
6,3600.0
7,2961.0
9,1662.0
10,2961.0
11,2961.0
12,2961.0
14,2961.0
15,3600.0
16,1662.0
17,2961.0
21,3600.0
22,3600.0
23,3600.0
24,2961.0
25,2961.0
27,3600.0
29,1662.0
33,6675.0
34,3600.0
35,3600.0
36,6500.0
37,3600.0
39,1662.0
43,16865.0
44,15365.0
46,16865.0
49,2961.0
51,6500.0
52,3600.0
53,2961.0
55,2961.0
56,2961.0
58,6675.0
59,15365.0
60,2961.0
61,6675.0
62,6675.0
63,3600.0
64,1662.0
65,1662.0
68,2961.0
69,2961.0
70,2961.0
71,1662.0

